price,lotsize,age,landValue,livingArea,bedrooms,fireplaces,bathrooms,rooms,heating,fuel,sewer,waterfront,newConstruction,centralAir
239000,364,42,50000,84,2,1,1,5,electric,electric,septic,No,No,No
332000,3723,0,22300,182,3,0,2.5,6,hot water/steam,gas,septic,No,No,No
195000,769,133,7300,181,4,1,1,8,hot water/steam,gas,public/commercial,No,No,No
282000,1659,13,18700,181,3,1,1.5,5,hot air,gas,septic,No,No,No
152000,445,0,15000,78,2,0,1,3,hot air,gas,public/commercial,No,Yes,Yes
215000,2752,31,14000,107,4,1,1,8,hot air,gas,septic,No,No,No
278000,1619,33,23300,256,4,1,1.5,8,hot water/steam,oil,septic,No,No,No
310000,4897,23,14600,155,4,1,1.5,9,hot air,oil,septic,No,No,No
159000,3359,36,22200,152,3,0,1.5,8,electric,electric,septic,No,No,No
221000,7851,4,21200,132,3,0,1.5,6,hot air,gas,none,No,No,No
613000,9268,123,12600,269,7,0,1,12,hot air,oil,septic,No,No,No
215000,3723,1,22300,151,3,0,2,6,hot air,gas,septic,No,No,No
152000,36302,13,4800,65,2,0,1,4,electric,electric,septic,No,No,No
172000,445,153,3100,129,3,0,2,5,hot water/steam,gas,public/commercial,No,No,No
229000,567,9,300,121,3,0,1.5,8,hot air,oil,septic,No,No,No
159000,0,88,2500,87,3,0,1,4,hot water/steam,gas,public/commercial,No,No,No
282000,526,9,300,121,3,0,1.5,7,hot air,oil,septic,No,No,No
473000,8094,0,49800,262,4,1,2.5,12,hot air,gas,none,No,No,Yes
104000,850,82,8500,86,2,0,1,6,hot water/steam,oil,septic,No,No,No
155000,3561,17,19400,102,3,0,1,6,hot air,oil,septic,No,No,No
200000,4047,12,8600,98,3,0,1,7,electric,electric,septic,No,No,No
187000,1740,21,5600,149,3,0,1.5,4,electric,electric,public/commercial,No,No,No
270000,1295,1,6200,147,3,0,2.5,7,hot air,gas,septic,No,Yes,Yes
272000,121,24,5100,193,3,0,2,6,hot air,oil,septic,No,No,No
160000,1457,16,5200,149,3,0,1.5,4,electric,electric,public/commercial,No,No,No
463000,16188,28,5500,207,4,0,3,10,hot air,oil,septic,No,No,No
244000,7406,126,6000,154,3,0,1,6,hot water/steam,oil,septic,No,No,No
263000,12141,26,4500,109,4,0,1.5,5,hot air,oil,septic,No,No,No
877000,1740,53,2700,229,4,1,2,10,hot air,oil,public/commercial,Yes,No,No
253000,1781,56,19400,144,3,1,1.5,7,hot air,oil,septic,No,No,Yes
234000,5018,51,24800,113,2,2,1,4,hot water/steam,oil,septic,No,No,No
343000,1862,3,15200,173,3,1,2.5,7,hot air,gas,septic,No,No,No
424000,3521,9,41100,206,3,1,2,8,hot air,gas,public/commercial,No,No,No
421000,7285,201,25500,174,3,0,2.5,5,hot air,oil,septic,No,No,No
329000,1862,1,15200,188,4,1,2.5,6,hot air,gas,septic,No,No,No
310000,3683,19,20200,155,4,1,3,8,hot air,gas,septic,No,No,Yes
387000,1862,1,15200,192,4,1,2.5,7,hot air,gas,none,No,No,No
310000,2388,0,17300,175,4,1,2.5,9,hot air,gas,septic,No,No,No
550000,29300,43,36600,188,4,2,3,6,hot water/steam,gas,septic,No,No,No
457000,769,0,20700,223,4,1,2.5,7,hot air,gas,none,No,No,Yes
286000,1862,45,20200,129,3,1,1.5,6,hot air,gas,septic,No,No,No
359000,1659,32,27100,182,4,0,2.5,8,hot air,gas,septic,No,No,Yes
272000,3157,54,24500,145,3,1,1.5,5,hot air,oil,septic,No,No,Yes
436000,3602,9,41600,184,3,0,2.5,6,hot air,gas,public/commercial,No,No,Yes
523000,5423,0,44400,231,4,1,2.5,10,hot air,gas,septic,No,No,No
459000,4047,0,17100,252,4,1,2.5,9,hot air,gas,none,No,No,No
223000,4047,98,15500,74,2,0,1,3,hot air,oil,septic,No,No,No
249000,1093,54,8900,140,3,0,2.5,7,hot water/steam,gas,septic,No,No,No
544000,2873,73,61000,171,4,0,2,8,hot air,oil,septic,Yes,No,No
193000,3642,48,19000,97,2,1,2,3,hot air,gas,septic,No,No,No
244000,971,10,8000,166,3,0,2.5,6,hot air,gas,public/commercial,No,No,Yes
112000,243,16,1600,138,2,1,2.5,5,hot air,gas,public/commercial,No,No,No
257000,2226,20,13800,133,3,1,2,6,hot air,gas,septic,No,No,No
225000,1376,32,11100,131,3,0,2,5,hot air,gas,septic,No,No,No
155000,769,15,3400,138,3,1,1.5,5,hot water/steam,gas,public/commercial,No,No,Yes
244000,931,135,8100,125,3,0,1,5,hot water/steam,gas,public/commercial,No,No,No
159000,283,14,1800,138,2,1,2.5,5,hot air,gas,public/commercial,No,No,Yes
159000,364,15,2400,138,3,1,1.5,7,hot water/steam,gas,public/commercial,No,No,No
228000,1012,10,8400,148,3,0,2.5,6,hot air,gas,public/commercial,No,No,No
320000,1902,15,27200,164,3,1,2,5,electric,electric,septic,No,No,No
287000,1457,10,12100,125,2,1,2,3,hot air,gas,public/commercial,No,No,Yes
163000,283,14,1800,138,3,1,1.5,8,hot air,gas,public/commercial,No,No,No
146000,445,225,3900,138,3,0,1,7,hot air,gas,public/commercial,No,No,No
253000,931,25,8300,147,4,1,1.5,5,hot air,gas,public/commercial,No,No,Yes
312000,12789,15,24100,94,2,0,1,7,electric,electric,septic,No,No,No
369000,324,0,32000,217,4,0,2.5,9,hot air,gas,public/commercial,No,Yes,No
251000,2307,30,7500,99,3,1,1,5,hot air,oil,septic,No,No,No
417000,2024,12,15300,226,4,1,2.5,11,hot air,gas,public/commercial,No,No,Yes
333000,4047,16,26600,122,3,1,2,7,electric,electric,septic,No,No,No
385000,2024,0,32000,155,3,0,2,7,hot air,gas,public/commercial,No,Yes,Yes
341000,2226,0,4400,186,4,0,2.5,7,hot air,gas,public/commercial,No,Yes,No
165000,405,14,2600,138,3,1,1.5,6,hot air,gas,public/commercial,No,No,No
480000,2024,0,32000,276,4,1,4,10,hot air,gas,public/commercial,No,Yes,Yes
293000,1255,10,10400,143,3,0,2.5,5,hot air,gas,public/commercial,No,No,Yes
163000,1133,18,6300,142,4,0,2,7,hot air,oil,septic,No,No,No
389000,243,0,32000,204,4,0,2.5,8,hot air,gas,public/commercial,No,Yes,No
206000,243,14,1600,138,3,1,1.5,6,hot air,gas,public/commercial,No,No,No
202000,1862,53,9200,135,3,0,2,7,hot water/steam,oil,septic,No,No,Yes
400000,405,0,32000,219,4,0,2.5,10,hot air,gas,public/commercial,No,Yes,No
263000,8580,32,19000,134,3,1,1,8,hot air,oil,septic,No,No,No
204000,243,14,1600,138,2,1,2.5,5,hot air,electric,public/commercial,No,No,No
251000,850,125,7300,175,3,0,2.5,6,hot air,gas,public/commercial,No,No,No
185000,243,14,1600,138,3,0,1.5,6,hot air,gas,public/commercial,No,No,No
310000,1052,11,8700,167,3,0,2.5,8,hot air,gas,public/commercial,No,No,No
326000,1174,2,25000,129,3,0,2.5,5,hot air,gas,septic,No,No,No
240000,5221,14,10300,156,2,1,2,3,hot air,electric,septic,No,No,Yes
339000,4047,0,4000,71,4,0,2,9,hot air,gas,septic,No,No,No
206000,3561,16,10000,145,3,1,1.5,8,electric,electric,septic,No,No,Yes
178000,2104,91,5000,93,3,0,1,6,hot air,oil,septic,No,No,No
210000,283,15,18900,156,4,1,1.5,9,electric,electric,septic,No,No,No
272000,1295,11,19400,154,3,0,1.5,6,electric,electric,none,No,No,No
344000,3723,11,20600,214,3,1,1.5,7,electric,electric,septic,No,No,No
191000,1862,25,18700,159,3,1,1,6,hot air,gas,septic,No,No,No
228000,1862,26,18700,126,3,0,1.5,5,hot air,gas,septic,No,No,No
266000,445,15,18900,156,3,1,2.5,6,hot air,gas,septic,No,No,No
108000,1619,103,10500,122,3,0,1.5,7,hot water/steam,gas,septic,No,No,No
180000,3521,30,8700,98,3,1,2,8,hot air,gas,septic,No,No,No
260000,2388,13,19900,85,3,0,1,7,hot air,gas,septic,No,No,No
203000,3764,18,4500,115,2,0,2,3,electric,electric,septic,No,No,No
134000,607,68,2000,128,3,1,1,5,hot air,gas,public/commercial,No,No,No
197000,2388,10,3100,87,3,0,1,6,hot air,gas,septic,No,No,Yes
155000,1336,49,3400,67,3,0,1,4,hot air,gas,septic,No,No,No
193000,1295,30,6500,151,2,1,1.5,4,hot water/steam,oil,septic,No,No,No
206000,1862,41,5000,106,3,0,1.5,6,hot air,gas,septic,No,No,No
265000,1943,2,3000,170,3,0,2.5,9,hot air,gas,septic,No,No,No
417000,9591,8,3300,166,3,1,2,6,hot water/steam,oil,septic,No,No,No
249000,3359,16,3700,172,3,1,2.5,8,hot air,gas,septic,No,No,Yes
403000,4047,0,3500,204,4,0,2.5,8,hot water/steam,gas,septic,No,Yes,No
41000,850,75,900,86,2,0,1,6,hot air,oil,septic,No,No,No
200000,1093,36,3800,119,3,0,1,5,hot water/steam,gas,public/commercial,No,No,No
201000,2914,43,4600,115,3,1,1,5,electric,electric,septic,No,No,No
172000,1457,45,3600,131,3,0,1.5,6,hot water/steam,gas,septic,No,No,No
217000,2104,6,2500,108,3,0,2,5,hot air,gas,septic,No,No,No
114000,769,123,2100,111,3,0,1,5,hot water/steam,gas,public/commercial,No,No,No
417000,1538,10,6600,205,4,1,2.5,8,hot air,gas,septic,No,No,Yes
353000,3319,0,5000,175,3,1,2.5,9,hot air,gas,septic,No,Yes,Yes
288000,2792,6,3400,127,3,0,1.5,8,hot air,oil,septic,No,No,No
460000,2064,16,6000,177,3,1,2.5,5,hot air,gas,septic,No,No,Yes
356000,2914,11,3200,144,3,0,2,8,hot air,gas,septic,No,No,No
247000,2509,12,5400,83,3,0,2,5,hot air,gas,septic,No,No,No
131000,4047,45,8000,94,3,0,1,7,hot air,gas,septic,No,No,No
